name,key_skills,salary_from,salary_to,salary_currency,area_name,published_at
Senior android developer,,,,,Херсон,2015-03-18T16:17:05+0300
Senior android developer,,,,,Воронеж,2015-02-24T21:50:54+0300
Программист на ios и android,,,,,Полтава,2015-02-23T16:21:45+0300
Senior android developer,,,,,Воронеж,2015-03-04T11:14:35+0300
Senior android developer,,,,,Воронеж,2015-03-04T11:48:06+0300
Senior android developer,,,,,Воронеж,2015-03-04T21:40:44+0300
Senior android developer,,,,,Воронеж,2015-03-11T21:31:39+0300
Senior android developer,,,,,Воронеж,2015-03-12T10:12:07+0300
Senior android developer,,,,,Воронеж,2015-03-12T21:38:57+0300
Senior android developer,,,,,Воронеж,2015-03-13T09:48:04+0300
Senior android developer,,,,,Воронеж,2015-03-07T09:26:06+0300
Senior android developer,,,,,Воронеж,2015-03-07T09:50:16+0300
Middle android developer,,,,,Львов,2015-07-09T10:22:46+0300
Senior android developer,,,,,Воронеж,2015-02-16T21:51:04+0300
Senior android developer,,,,,Воронеж,2015-02-17T10:56:45+0300
Senior android developer,,,,,Воронеж,2015-02-17T21:49:10+0300
Senior android developer,,,,,Воронеж,2015-02-18T11:41:21+0300
Стажер android разработчик,,,,,Алматы,2015-07-15T10:27:21+0300
Програміст android,,,,,Киев,2015-11-23T14:11:18+0300
Старший разработчик андроид/ Senior android developer,,,,,Санкт-Петербург,2015-11-08T16:08:37+0300
Программист-разработчик под android,,,,,Алматы,2015-01-05T09:56:48+0300
Senior android developer,"Java
Android
SQL
ООП",80000.0,150000.0,RUR,Омск,2015-10-02T07:51:54+0300
Senior android developer,,80000.0,150000.0,RUR,Кемерово,2015-10-02T07:51:54+0300
Junior / Middle android developer,,20000.0,60000.0,RUR,Омск,2015-09-13T15:13:45+0300
Senior android developer,,,,,Воронеж,2015-03-16T22:04:29+0300
Senior android developer,,,,,Воронеж,2015-03-17T09:59:46+0300
Senior android developer,,,,,Воронеж,2015-03-09T15:32:34+0300
Senior android developer,,,,,Воронеж,2015-03-10T10:02:20+0300
Программист/ разработчик мобильных приложений (android),,60000.0,100000.0,RUR,Москва,2015-12-04T14:46:53+0300
Senior android developer,"Android SDK
C/C++
Code Optimization
Git
SVN",,,,Нижний Новгород,2015-09-09T15:46:56+0300
Senior android developer,"Android SDK
C/C++
Code Optimization
Git
SVN",,,,Саратов,2015-09-09T15:46:56+0300
Senior android developer,"Android SDK
C/C++
Code Optimization
Git
SVN",,,,Самара,2015-09-09T15:46:56+0300
Senior android developer,"Android SDK
C/C++
Code Optimization
Git
SVN",,,,Новосибирск,2015-09-09T15:46:56+0300
Senior android developer,"Android SDK
C/C++
Code Optimization
Git
SVN",,,,Уфа,2015-09-09T15:46:56+0300
Senior android developer,"Android SDK
C/C++
Code Optimization
Git
SVN",,,,Калининград,2015-09-09T15:46:56+0300
Senior android developer,"Android SDK
C/C++
Code Optimization
Git
SVN",,,,Санкт-Петербург,2015-09-09T15:46:56+0300
Senior android developer,"Android SDK
C/C++
Code Optimization
Git
SVN",,,,Воронеж,2015-09-09T15:46:56+0300
Senior android developer,"Android SDK
C/C++
Code Optimization
Git
SVN",,,,Ульяновск,2015-09-09T15:46:56+0300
Senior android developer,"Android SDK
C/C++
Code Optimization
Git
SVN",,,,Москва,2015-09-09T15:46:56+0300
Разработчик мобильных приложений под android (junior),,15000.0,25000.0,RUR,Краснодар,2015-12-02T11:24:42+0300
Senior android developer,"Android SDK
Java",,,,Самара,2015-11-19T12:51:12+0300
Senior android developer,"Android SDK
Java",,,,Санкт-Петербург,2015-11-19T12:51:12+0300
Senior android developer,"Android SDK
Java",,,,Нижний Новгород,2015-11-19T12:51:12+0300
Senior android developer,"Android SDK
Java",,,,Саратов,2015-11-19T12:51:12+0300
Senior android developer,"Android SDK
Java",,,,Казань,2015-11-19T12:51:12+0300
Senior android developer,"Android SDK
Java",,,,Таганрог,2015-11-19T12:51:12+0300
Senior android developer,"Android SDK
Java",,,,Симферополь,2015-11-19T12:51:12+0300
Senior android developer,"Android SDK
Java",,,,Воронеж,2015-11-19T12:51:12+0300
Senior android developer,,,,,Воронеж,2015-03-05T10:35:31+0300
Senior android developer,,,,,Воронеж,2015-03-06T10:24:57+0300
Senior android developer,,,,,Воронеж,2015-03-17T22:22:59+0300
Senior android developer,,,,,Воронеж,2015-03-18T09:37:56+0300
Senior android developer,,,,,Воронеж,2015-02-24T10:05:42+0300
Senior android developer,,,,,Воронеж,2015-03-13T21:31:18+0300
Senior android developer,,,,,Воронеж,2015-03-15T16:41:27+0300
IOS / android разработчик,,150000.0,250000.0,KZT,Алматы,2015-07-23T10:47:36+0300
Ведущий android разработчик,,,,,Москва,2015-03-18T11:50:30+0300
Программист разработчик мобильных приложений (android),,80000.0,130000.0,RUR,Москва,2015-01-30T11:08:46+0300
Senior android developer,,,,,Воронеж,2015-02-16T15:13:23+0300
Senior android developer,,,,,Воронеж,2015-02-25T11:56:07+0300
Senior android developer,,,,,Воронеж,2015-02-25T21:42:46+0300
Senior android developer,,,,,Воронеж,2015-03-03T11:05:10+0300
"Разработчик мобильных приложений (developer android, iOS)",,60000.0,80000.0,RUR,Санкт-Петербург,2015-05-20T18:49:10+0300
Разработчик под андроид,,2000.0,,USD,Москва,2015-09-02T13:17:50+0300
Разработчик под андроид,,2000.0,,USD,Санкт-Петербург,2015-09-02T13:17:50+0300
Программист/разработчик мобильных приложений под android/iOS,,60000.0,,KZT,Нур-Султан,2015-04-06T07:30:06+0300
Разработчик под android,"Android
iOS
C#",,,,Калининград,2015-11-30T16:50:54+0300
Senior android developer,,,,,Воронеж,2015-03-02T12:15:41+0300
Senior android developer,,,,,Воронеж,2015-03-02T21:28:23+0300
Senior android developer,,,,,Воронеж,2015-03-10T21:41:25+0300
Senior android developer,,,,,Воронеж,2015-03-11T10:35:23+0300
"Разработчик мобильных приложений на xamarin (developer on xamarin for android, iOS )",,70000.0,110000.0,RUR,Санкт-Петербург,2015-04-29T15:35:38+0300
Senior android developer,"Java, Android SDK, Eclipse, Android Developer Tools (ADT)",500.0,,USD,Минск,2015-09-02T14:40:30+0300
Senior android developer,,,,,Воронеж,2015-03-19T21:54:25+0300
Senior android developer,,,,,Воронеж,2015-03-20T11:33:45+0300
Junior android developer,"Java
C++
Android SDK
Git",20000.0,30000.0,RUR,Омск,2015-09-01T13:33:33+0300
Программист мобильных приложений (под android) Аутсорсинг,,,,,Москва,2015-05-15T13:42:40+0300
Разработчик под android,,,,,Нижний Новгород,2015-10-12T11:20:13+0300
Разработчик под android,,,,,Казань,2015-05-21T14:58:46+0300
Разработчик под android,,,,,Санкт-Петербург,2015-05-21T14:58:46+0300
Senior android developer,,,,,Воронеж,2015-02-18T21:32:42+0300
Senior android developer,,,,,Воронеж,2015-02-19T10:53:45+0300
Разработчик мобильных приложений под android (junior),,15000.0,25000.0,RUR,Краснодар,2015-01-17T10:23:53+0300
Senior android developer,,,,,Воронеж,2015-03-20T21:47:31+0300
Senior android developer,,,,,Воронеж,2015-03-22T00:58:27+0300
Senior android developer,,,,,Воронеж,2015-03-22T14:56:17+0300
Senior android developer,,,,,Воронеж,2015-03-23T10:00:48+0300
Разработчик мобильных приложений (android),,90000.0,130000.0,RUR,Москва,2015-04-10T13:41:58+0300
Senior android developer,,,,,Одесса,2015-05-28T19:56:13+0300
Senior android developer,,,,,Воронеж,2015-02-27T21:32:56+0300
"Разработчик ios, android приложений",,100000.0,,RUR,Челябинск,2015-02-20T11:02:00+0300
Senior android developer,,,,,Воронеж,2015-02-21T12:49:04+0300
Senior android developer,,,,,Воронеж,2015-03-18T21:28:11+0300
Senior android developer,,,,,Воронеж,2015-03-19T11:03:32+0300
Разработчик приложений IOS/android,,,,,Москва,2015-12-07T12:14:25+0300
Senior android developer,,,,,Воронеж,2015-03-16T11:15:48+0300
Senior android developer,,,,,Воронеж,2015-02-26T10:41:35+0300
Senior android developer,,,,,Воронеж,2015-02-26T21:55:16+0300
Программист android,,120000.0,,RUR,Москва,2016-12-09T10:35:30+0300
Стажер android developer,,,,,Алматы,2016-07-21T10:22:12+0300
Разработчик android/ios,,1000.0,,USD,Минск,2016-11-05T12:15:43+0300
Разработчик (android),Java,20000.0,40000.0,RUR,Ростов-на-Дону,2016-12-06T10:11:54+0300
Разработчик приложений на ios и android,,150000.0,,KZT,Алматы,2016-05-09T10:53:27+0300
Test engineer (android),"Android
QA
Test case
Linux",70000.0,100000.0,RUR,Москва,2016-01-11T14:26:53+0300
Test engineer (android),"Android
Linux
QA",70000.0,100000.0,RUR,Иваново (Ивановская область),2016-01-11T14:24:54+0300
Test engineer (android),"Android
Linux
QA",70000.0,100000.0,RUR,Санкт-Петербург,2016-01-11T14:25:02+0300
Test engineer (android),"Android
Linux
QA",70000.0,100000.0,RUR,Нижний Новгород,2016-01-11T14:25:09+0300
Test engineer (android),"Android
Linux
QA",70000.0,100000.0,RUR,Казань,2016-01-11T14:25:17+0300
Test engineer (android),"Android
Linux
QA",70000.0,100000.0,RUR,Воронеж,2016-01-11T14:25:26+0300
Test engineer (android),"Android
Linux
QA",70000.0,100000.0,RUR,Симферополь,2016-01-11T14:25:37+0300
Test engineer (android),"Android
Linux
QA",70000.0,100000.0,RUR,Саратов,2016-01-11T14:25:47+0300
Test engineer (android),"Android
Linux
QA",70000.0,100000.0,RUR,Самара,2016-01-11T14:26:32+0300
Test engineer (android),"Android
Linux
QA",70000.0,100000.0,RUR,Томск,2016-01-11T14:26:41+0300
Senior android developer,,,,,Ташкент,2016-05-16T08:36:14+0300
Стажер android studio,,,,,Алматы,2016-01-19T05:36:44+0300
Middle android developer,,,,,Львов,2016-01-22T13:56:22+0300
Программист/ разработчик мобильных приложений (android),,50000.0,70000.0,RUR,Москва,2016-01-22T16:43:20+0300
Разработчик android и iOS,,200000.0,400000.0,KZT,Нур-Султан,2016-08-09T08:25:25+0300
Разработчик android и iOS,,200000.0,400000.0,KZT,Нур-Султан,2016-10-10T12:24:43+0300
Разработчик Xamarin/android,,,,,Москва,2016-07-30T17:07:29+0300
Мобильный разработчик android OS / iOS,,,,,Алматы,2016-11-23T12:58:18+0300
Стажер android-разработчик,"Git
ООП
Java",,,,Саратов,2016-10-25T11:08:59+0300
Senior android developer,"Java
Android SDK",,,,Москва,2016-09-02T15:40:09+0300
Senior android developer,,,,,Херсон,2016-03-25T14:01:41+0300
Ведущий андроид разработчик/Senior android developer,"Android SDK
Java",120000.0,,RUR,Москва,2016-01-11T14:27:02+0300
Разработчик android,,60000.0,,RUR,Нижний Новгород,2016-06-22T11:56:19+0300
Программист-разработчик android /IOS,"iOS
Android",100000.0,,RUR,Москва,2016-07-09T11:50:44+0300
Программист ios/ android/ wp,,50000.0,80000.0,RUR,Тверь,2016-08-04T20:21:09+0300
Senior android developer,"Java
Android SDK",,,,Москва,2016-07-25T11:35:21+0300
Ведущий android-разработчик,,,,,Москва,2016-03-11T12:16:51+0300
Senior android developer,,100000.0,,RUR,Брянск,2016-10-20T16:29:29+0300
Программист для андроид,,800.0,1500.0,BYR,Минск,2016-03-04T10:52:08+0300
Младший андроид разработчик (Junior Android Developer),"Java SE
Android
Android SDK
Git",,,,Тольятти,2016-10-15T15:01:08+0300
"Разработчик мобильных приложений (android, ios)",,40000.0,80000.0,RUR,Ярославль,2016-07-19T11:25:16+0300
Senior android developer,,,,,Ижевск,2016-01-18T15:53:06+0300
"Разработчик мобильных приложений (android, ios)",,40000.0,,RUR,Ярославль,2016-03-15T13:54:54+0300
"Разработчик мобильных приложений (android, ios)",,,,,Минск,2016-01-20T15:22:16+0300
Разработчик мобильных игр для ios/android,,,120000.0,RUR,Санкт-Петербург,2016-09-13T02:46:59+0300
Senior android developer,"Android
Java",120000.0,,RUR,Москва,2016-10-19T10:45:58+0300
Senior android developer c переездом в г. Москва,"Java
Android SDK",120000.0,,RUR,Самара,2016-07-25T11:35:21+0300
Senior android developer c переездом в г. Москва,"Java
Android SDK",120000.0,,RUR,Нижний Новгород,2016-07-25T11:35:21+0300
Senior android developer c переездом в г. Москва,"Java
Android SDK",120000.0,,RUR,Томск,2016-07-25T11:35:21+0300
Senior android developer c переездом в г. Москва,"Java
Android SDK",,,,Новосибирск,2016-07-25T11:35:21+0300
Senior android developer c переездом в г. Москва,"Java
Android SDK",,,,Казань,2016-07-25T11:35:21+0300
Senior android developer с переездом в г. Москва,"Java
Android SDK",,,,Санкт-Петербург,2016-07-25T11:35:21+0300
Senior android developer с переездом в г. Москва,"Java
Android SDK",,,,Саратов,2016-07-25T11:35:21+0300
Senior android developer с переездом г. Москва,"Java
Android SDK",,,,Воронеж,2016-07-25T11:35:21+0300
Senior android developer с переездом в г. Москва,"Java
Android SDK",,,,Таганрог,2016-07-25T11:35:21+0300
Разработчик android,,,,,Казань,2016-08-08T10:41:45+0300
Ios android разработчик,"iOS
Android
Java
Objective-C",200000.0,,KZT,Алматы,2016-11-02T11:20:13+0300
Программист/ разработчик мобильных приложений (android),,40000.0,100000.0,RUR,Москва,2016-10-03T12:13:20+0300
"Программист java, C, C++, android",,1000.0,2500.0,BYR,Минск,2016-06-23T07:38:09+0300
Ведущий android разработчик,,40000.0,120000.0,RUR,Санкт-Петербург,2016-09-13T13:30:59+0300
Middle android разработчик,,80000.0,,RUR,Екатеринбург,2016-09-19T09:07:56+0300
Разработчик приложения под android,,,,,Москва,2016-12-14T10:19:13+0300
"Программист, разработчик мобильных приложений ios / android",,80000.0,100000.0,RUR,Москва,2016-03-29T14:02:58+0300
"Тестировщик web, android, iOS проектов",,,,,Киев,2016-03-17T17:37:36+0300
Программист/ разработчик мобильных приложений (android),,60000.0,120000.0,RUR,Москва,2016-06-02T16:49:55+0300
Ведущий android разработчик,,,,,Казань,2016-08-12T12:47:52+0300
"Разработчик мобильных приложений (ios, android)",,,,,Москва,2016-07-11T14:33:42+0300
Xamarin(ios/android) разработчик,,90000.0,,RUR,Тула,2016-11-15T18:38:07+0300
Руководитель отдела обучения исполнителей (android +ios),,90000.0,120000.0,RUR,Москва,2016-02-05T16:15:53+0300
Senior android developer,,,,,Воронеж,2016-10-12T17:36:26+0300
Junior android разработчик,,40000.0,,RUR,Санкт-Петербург,2016-09-30T13:26:51+0300
"Креативный разработчик мобильных приложений (ios, android)",,,,,Москва,2016-03-28T12:22:19+0300
"Программист, разработчик мобильных приложений ios / android",,80000.0,100000.0,RUR,Москва,2016-02-03T13:49:54+0300
Ведущий android-разработчик,,130000.0,180000.0,RUR,Москва,2016-03-04T17:12:02+0300
"Разработчик мобильных приложений (android, ios)",,40000.0,,RUR,Ярославль,2016-05-05T10:37:07+0300
Ведущий java android разработчик,,,,,Москва,2016-01-22T12:16:57+0300
Middle android разработчик,,,,,Москва,2016-12-09T09:44:03+0300
Android developer / разработчик android,"Android
Java
RxJava
Android AP
Eclipse
SQLite
XML
API
JSON API
SOAP
REST",,,,Омск,2016-07-01T12:22:17+0300
Senior android developer,,,,,Ростов-на-Дону,2016-09-28T10:49:40+0300
Senior android developer,,,,,Санкт-Петербург,2016-09-28T10:49:40+0300
Ведущий android разработчик (teamlead),,100000.0,150000.0,RUR,Томск,2016-12-29T07:20:36+0300
Разработчик android,,60000.0,,RUR,Нижний Новгород,2016-01-11T10:43:03+0300
Android - разработчик мобильных приложений (android mobile app developer),,1500.0,2000.0,BYR,Минск,2017-07-04T17:03:43+0300
Ведущий разработчик android,"Android
Java
Git
ООП
SQLite
JSON API
JavaScript
PHP
PostgreSQL",50000.0,120000.0,RUR,Воронеж,2017-03-16T21:39:49+0300
Middle android разработчик,,,,,Киев,2017-08-10T13:00:42+0300
Стажер android-разработчик,"Git
ООП
Java",,,,Саратов,2017-06-13T11:08:29+0300
Middle/Senior android developer,,,,,Москва,2017-06-04T18:51:36+0300
Senior android developer,,,200000.0,RUR,Москва,2017-04-08T12:01:57+0300
Разработчик ios/android,,70000.0,,RUR,Москва,2017-07-29T17:09:10+0300
Junior android-разработчик,"ООП
Java
Android",20000.0,40000.0,RUR,Новосибирск,2017-09-13T09:06:00+0300
Developer (android),,,,,Москва,2017-10-21T16:23:11+0300
Разработчик android-приложений,"Android SDK
Android
Git",40000.0,90000.0,RUR,Калининград,2017-07-27T20:05:33+0300
